regularization,gamma,kernel,stopwords,n_grams,err,time
2,1e-05,poly,None,1,0.24781783451651332,1.2667113145192463
2,1e-05,rbf,None,1,0.2478639810236678,1.454576810201009
2,1e-05,sigmoid,None,1,0.24781783451651332,1.4625413417816162
2,0.0001,linear,None,1,0.6127188953624155,1.4616586367289226
2,0.0001,poly,None,1,0.2634221272185976,1.5114769140879314
2,0.0001,rbf,None,1,0.5467045564037655,1.5520755449930828
2,0.0001,sigmoid,None,1,0.5918061087147071,1.5331699848175049
2,0.001,linear,None,1,0.6127188953624155,1.4586107730865479
2,0.001,poly,None,1,0.2902998359536974,1.6863993008931477
2,0.001,rbf,None,1,0.35095875526764214,1.5898712476094563
2,0.001,sigmoid,None,1,0.5796771211047075,0.9083500703175863
2,0.01,linear,None,1,0.6127188953624155,1.4621413548787434
2,0.01,poly,None,1,0.301877934977622,1.6909170150756836
2,0.01,rbf,None,1,0.28382052700824373,1.9110660552978516
2,0.01,sigmoid,None,1,0.6154682278594578,0.7048258781433105
2,0.1,linear,None,1,0.6127188953624155,1.4648163318634033
2,0.1,poly,None,1,0.301877934977622,1.6947290897369385
2,0.1,rbf,None,1,0.2596280598331056,1.6205982367197673
