regularization,gamma,kernel,stopwords,n_grams,err,time
1.5,0.01,sigmoid,None,1,0.5333673363687202,1.9571426709493
1.5,0.1,linear,None,1,0.6123348079654529,3.199728012084961
1.5,0.1,poly,None,1,0.22401798740914491,3.822131951649984
1.5,0.1,rbf,None,1,0.26471783042628233,4.561615546544393
1.5,0.1,sigmoid,None,1,0.3669728897680527,2.559614102045695
2,1e-05,linear,None,1,0.6122893146050056,2.962207873662313
2,1e-05,poly,None,1,0.11630024117043297,4.109878222147624
2,1e-05,rbf,None,1,0.45546809251049014,3.6282482941945395
2,1e-05,sigmoid,None,1,0.3832449266051079,4.150669415791829
2,0.0001,linear,None,1,0.6122893146050056,2.9636030991872153
2,0.0001,poly,None,1,0.1692737639616256,3.9949309825897217
2,0.0001,rbf,None,1,0.561515179017377,3.5393823782602944
2,0.0001,sigmoid,None,1,0.6151197936387224,3.2249550024668374
2,0.001,linear,None,1,0.6122893146050056,2.963517904281616
2,0.001,poly,None,1,0.21730287730764664,3.678730010986328
2,0.001,rbf,None,1,0.36958919665255413,4.247624635696411
2,0.001,sigmoid,None,1,0.5661303302409803,1.625585397084554
2,0.01,linear,None,1,0.6122893146050056,2.9693482716878257
2,0.01,poly,None,1,0.22401798740914491,3.6476100285847983
2,0.01,rbf,None,1,0.29228721467097807,5.05797004699707
2,0.01,sigmoid,None,1,0.5299675059058413,1.700381596883138
2,0.1,linear,None,1,0.6122893146050056,2.960512717564901
2,0.1,poly,None,1,0.22401798740914491,3.6513856252034507
2,0.1,rbf,None,1,0.26471783042628233,4.5190549691518145
2,0.1,sigmoid,None,1,0.36773687333078103,2.4283889134724936
2.5,1e-05,linear,None,1,0.6131703236292837,2.9765963554382324
2.5,1e-05,poly,None,1,0.11630024117043297,4.110482374827067
2.5,1e-05,rbf,None,1,0.4869640636765607,3.529493570327759
2.5,1e-05,sigmoid,None,1,0.3906442716311151,4.059091885884603
2.5,0.0001,linear,None,1,0.6131703236292837,2.969453493754069
2.5,0.0001,poly,None,1,0.17681698942695945,3.9615246454874673
2.5,0.0001,rbf,None,1,0.5616401162265009,3.6881253719329834
2.5,0.0001,sigmoid,None,1,0.6132093611064997,3.404142220815023
2.5,0.001,linear,None,1,0.6131703236292837,2.996342738469442
2.5,0.001,poly,None,1,0.21847854975872805,3.813807487487793
2.5,0.001,rbf,None,1,0.3697510213054778,4.253202438354492
2.5,0.001,sigmoid,None,1,0.5627862456232612,1.5841282208760579
2.5,0.01,linear,None,1,0.6131703236292837,2.974278767903646
2.5,0.01,poly,None,1,0.22401798740914491,3.654040257136027
2.5,0.01,rbf,None,1,0.29228721467097807,5.0599314371744795
2.5,0.01,sigmoid,None,1,0.5287980450173645,1.6350936094919841
2.5,0.1,linear,None,1,0.6131703236292837,2.971881945927938
2.5,0.1,poly,None,1,0.22401798740914491,3.660149256388346
2.5,0.1,rbf,None,1,0.26471783042628233,4.522356430689494
2.5,0.1,sigmoid,None,1,0.3614040578740652,2.406083901723226
3,1e-05,linear,None,1,0.612971721090735,2.970849593480428
3,1e-05,poly,None,1,0.11630024117043297,4.111204544703166
3,1e-05,rbf,None,1,0.512808863488364,3.4540050824483237
3,1e-05,sigmoid,None,1,0.42789078422540355,3.9943946997324624
3,0.0001,linear,None,1,0.612971721090735,2.967889388402303
3,0.0001,poly,None,1,0.18243245149879983,3.985978921254476
3,0.0001,rbf,None,1,0.5619767255800014,3.771385828653971
3,0.0001,sigmoid,None,1,0.6107647179824466,3.620190143585205
3,0.001,linear,None,1,0.612971721090735,2.9713167349497476
3,0.001,poly,None,1,0.21990006132582374,3.6695733865102134
3,0.001,rbf,None,1,0.36952025911980985,4.234875361124675
3,0.001,sigmoid,None,1,0.5563985091342768,1.4971300760904949
3,0.01,linear,None,1,0.612971721090735,2.969087600708008
3,0.01,poly,None,1,0.22401798740914491,3.6491340001424155
3,0.01,rbf,None,1,0.29228721467097807,5.051284631093343
3,0.01,sigmoid,None,1,0.5239516168350891,1.605151653289795
3,0.1,linear,None,1,0.612971721090735,2.9720276991526284
3,0.1,poly,None,1,0.22401798740914491,3.6565535068511963
3,0.1,rbf,None,1,0.26471783042628233,4.548513174057007
3,0.1,sigmoid,None,1,0.3643136137576417,2.3852113087972007
0.01,1e-05,linear,None,2,0.5590592736825385,3.5273555914560952
0.01,1e-05,poly,None,2,0.2600714810691944,5.6010739008585615
0.01,1e-05,rbf,None,2,0.23266317095622116,5.747005224227905
0.01,1e-05,sigmoid,None,2,0.2686368746136427,5.775118192036946
0.01,0.0001,linear,None,2,0.5590592736825385,3.5303192933400473
0.01,0.0001,poly,None,2,0.16880791095622258,5.543732722600301
0.01,0.0001,rbf,None,2,0.2822588606274541,5.699206908543904
0.01,0.0001,sigmoid,None,2,0.2608066445830573,5.757541656494141
0.01,0.001,linear,None,2,0.5590592736825385,3.5270787874857583
0.01,0.001,poly,None,2,0.18847765655338158,5.036298036575317
0.01,0.001,rbf,None,2,0.2546543651594793,5.828050374984741
0.01,0.001,sigmoid,None,2,0.26386353150129893,5.164369424184163
0.01,0.01,linear,None,2,0.5590592736825385,3.528618017832438
0.01,0.01,poly,None,2,0.19227961569877428,4.873501380284627
0.01,0.01,rbf,None,2,0.25349011712023334,5.8435579140981035
0.01,0.01,sigmoid,None,2,0.36428296796924964,4.93781590461731
0.01,0.1,linear,None,2,0.5590592736825385,3.54229466120402
