hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1000,0.1,english,1,0.5811124814515944,13.27308440208435
1,1000,0.5,english,1,0.48798544685013656,12.616811672846476
1,1000,1,english,1,0.46926335599404084,16.514238675435383
10,1,0.01,english,1,0.5902652252633311,50.099156777064
10,1,0.05,english,1,0.5908855227187592,15.093594392140707
10,1,0.1,english,1,0.575710173844361,12.944844961166382
10,1,0.5,english,1,0.4660276731749076,13.531156460444132
10,1,1,english,1,0.4239769426738181,10.09138830502828
10,10,0.01,english,1,0.5901737893588298,50.1147366364797
10,10,0.05,english,1,0.591655181335736,15.849168141682943
10,10,0.1,english,1,0.5684451268257007,14.77236302693685
10,10,0.5,english,1,0.5038435420525335,10.057903289794922
10,10,1,english,1,0.42526245114576877,12.943650086720785
10,100,0.01,english,1,0.5902977282075511,54.064154386520386
10,100,0.05,english,1,0.5901359376400498,15.504958311716715
10,100,0.1,english,1,0.5800490095888454,11.886671781539917
10,100,0.5,english,1,0.4879413987863719,16.537372907002766
10,100,1,english,1,0.42167501922219924,13.244096835454306
10,1000,0.01,english,1,0.5995556724260124,53.44611978530884
10,1000,0.05,english,1,0.5780206677219927,16.187833706537884
10,1000,0.1,english,1,0.580217524983936,14.390236457188925
10,1000,0.5,english,1,0.5002934743964172,13.319403092066446
10,1000,1,english,1,0.4390151125913094,17.12730383872986
100,1,0.01,english,1,0.5927279575470353,52.874487002690636
100,1,0.05,english,1,0.5853004065017196,16.515618721644085
100,1,0.1,english,1,0.5808000212577092,13.67086394627889
100,1,0.5,english,1,0.5011692099838295,20.101442337036133
100,1,1,english,1,0.4247792855125532,12.25560466448466
100,10,0.01,english,1,0.5936415660166628,51.02050010363261
100,10,0.05,english,1,0.5874046447006284,17.22483531634013
100,10,0.1,english,1,0.5854457985473435,12.573657671610514
100,10,0.5,english,1,0.4795977403857701,15.799455006917318
100,10,1,english,1,0.4577651402490149,14.022619088490805
100,100,0.01,english,1,0.5955960773462641,51.803199688593544
